00,28602
01,19903
02,13952
03,10225
04,6398
05,3921
06,5903
07,10730
08,17942
09,19077
10,17008
11,16566
12,17643
13,18096
14,19200
15,17484
16,15105
17,19845
18,26228
19,31736
20,37211
21,41703
22,42387
23,37590
