Pickup_latitude,Pickup_longitude,Dropoff_latitude,Dropoff_longitude,lpep_pickup_datetime,Lpep_dropoff_datetime,Trip_distance
latitude,longitude,latitude,longitude,date,date,float
40.881328582763672,-73.878700256347656,40.884838104248047,-73.838386535644531,1433131200,1433131772,2.64
40.876182556152344,-73.906356811523438,40.830490112304688,-73.944488525390625,1433131205,1433131961,4.79
40.747196197509766,-73.887863159179688,40.738815307617188,-73.888786315917969,1433131209,1433131889,1.45
40.770065307617187,-73.917800903320312,40.766143798828125,-73.907890319824219,1433131226,1433131431,.74
40.717121124267578,-73.956329345703125,40.723434448242187,-73.950599670410156,1433131218,1433131471,.80
40.816555023193359,-73.939163208007812,40.796218872070313,-73.938468933105469,1433131216,1433131829,1.94
40.813583374023438,-73.941329956054687,40.811511993408203,-73.918571472167969,1433131229,1433132807,6.26
40.674507141113281,-73.997383117675781,40.67755126953125,-73.98590087890625,1433131275,1433131451,.90
40.746994018554687,-73.891006469726563,40.749176025390625,-73.880416870117187,1433131239,1433131595,.71
40.693115234375,-73.969017028808594,40.706508636474609,-73.950355529785156,1433131234,1433131813,1.96
40.695011138916016,-73.928153991699219,40.773025512695313,-73.954338073730469,1433131266,1433133120,9.47
40.833911895751953,-73.918495178222656,40.827144622802734,-73.887199401855469,1433131244,1433131966,2.50
40.706630706787109,-73.950279235839844,40.670440673828125,-73.955947875976563,1433131283,1433132319,3.82
40.7303466796875,-73.954254150390625,40.672275543212891,-73.990882873535156,1433131259,1433132294,7.40
40.744125366210937,-73.885353088378906,40.71575927734375,-73.808113098144531,1433131251,1433132010,5.70
40.813125610351562,-73.951614379882813,40.816837310791016,-73.94134521484375,1433131308,1433131708,1.20
40.680110931396484,-73.94329833984375,40.667808532714844,-73.895309448242188,1433131348,1433132233,3.29
40.721839904785156,-73.958160400390625,40.733165740966797,-74.006340026855469,1433131360,1433132467,4.47
40.689449310302734,-73.98138427734375,40.677028656005859,-73.9735107421875,1433131320,1433131566,.94
40.717987060546875,-73.957603454589844,40.689247131347656,-73.99261474609375,1433131290,1433131947,4.69
40.808135986328125,-73.94512939453125,40.795875549316406,-73.949966430664063,1433131340,1433131608,1.08
40.713886260986328,-73.959709167480469,40.706703186035156,-73.943206787109375,1433131350,1433131898,1.58
40.737003326416016,-73.924674987792969,40.748405456542969,-73.95672607421875,1433131318,1433131866,2.39
40.834312438964844,-73.941307067871094,40.834327697753906,-73.941307067871094,1433131296,1433131304,.00
40.745441436767578,-73.903739929199219,40.731372833251953,-73.895759582519531,1433131336,1433131767,1.55
40.716342926025391,-73.961433410644531,40.691703796386719,-73.959663391113281,1433131299,1433132008,2.49
40.868366241455078,-73.919013977050781,40.889778137207031,-73.912689208984375,1433131342,1433132002,2.12
40.692821502685547,-73.9873046875,40.692466735839844,-73.968833923339844,1433131352,1433131677,1.05
40.784355163574219,-73.947166442871094,40.830009460449219,-73.878562927246094,1433131293,1433132158,5.79
40.692615509033203,-73.928108215332031,40.688369750976563,-73.96478271484375,1433131333,1433131916,2.20
40.790771484375,-73.953506469726563,40.795608520507813,-73.965835571289063,1433131311,1433131584,1.40
40.719028472900391,-73.956527709960937,40.726093292236328,-73.939651489257813,1433131412,1433131759,1.05
40.808948516845703,-73.922920227050781,40.829826354980469,-73.903984069824219,1433131384,1433131953,1.87
40.720321655273437,-73.844711303710938,40.733871459960937,-73.850044250488281,1433131201,1433131428,1.00
40.806903839111328,-73.960861206054688,40.677810668945313,-73.968849182128906,1433131210,1433133243,13.25
40.743148803710938,-73.951423645019531,40.721504211425781,-73.844482421875,1433131205,1433132004,6.62
40.809474945068359,-73.95892333984375,40.776802062988281,-73.984825134277344,1433131216,1433132056,3.73
40.692588806152344,-73.990928649902344,40.674457550048828,-73.9664306640625,1433131219,1433131884,2.52
40.747230529785156,-73.888694763183594,40.810897827148438,-73.959197998046875,1433131230,1433132675,7.20
40.676517486572266,-73.978469848632812,40.618865966796875,-74.027137756347656,1433131226,1433132221,5.70
40.721660614013672,-73.8441162109375,40.738597869873047,-73.818565368652344,1433131271,1433131938,3.65
40.715999603271484,-73.962028503417969,40.698562622070313,-73.913642883300781,1433131254,1433132192,3.43
40.838939666748047,-73.914016723632813,40.8431396484375,-73.924720764160156,1433131234,1433131587,.76
40.836288452148437,-73.91571044921875,40.835735321044922,-73.90765380859375,1433131277,1433131537,.78
40.700206756591797,-73.807151794433594,40.707675933837891,-73.83624267578125,1433131245,1433131659,1.90
40.746864318847656,-73.891075134277344,40.758697509765625,-73.918243408203125,1433131260,1433131792,1.73
40.721111297607422,-73.844131469726563,40.734951019287109,-73.84814453125,1433131286,1433131660,1.10
40.789966583251953,-73.952156066894531,40.827602386474609,-73.920379638671875,1433131239,1433131891,3.30
40.745941162109375,-73.89892578125,40.7454833984375,-73.883041381835938,1433131297,1433131626,1.09
40.701766967773438,-73.882942199707031,40.72088623046875,-73.843330383300781,1433131323,1433132079,2.89
40.716297149658203,-73.959434509277344,40.720306396484375,-73.984420776367188,1433131351,1433131854,2.24
40.721622467041016,-73.950820922851563,40.71124267578125,-73.94793701171875,1433131354,1433131835,.99
40.752723693847656,-73.924003601074219,40.747535705566406,-73.883682250976563,1433131318,1433132172,2.36
40.879058837890625,-73.874542236328125,40.862228393554687,-73.825004577636719,1433131309,1433132093,3.36
40.748775482177734,-73.874099731445312,40.760917663574219,-73.8778076171875,1433131361,1433131751,.90
40.749000549316406,-73.937881469726563,40.7626953125,-73.920364379882813,1433131341,1433131784,1.40
