VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/15/2015 19:05,1/15/2015 19:17,1,2.92,-8237458.86975,4971133.70237,1,N,-8232724.87037,4970482.66246,1,12.5,1.0,0.5,2.7,0.0,0.3,17.0
1,1/10/2015 19:12,1/10/2015 19:31,1,2.9,-8237982.03907,4972262.75872,1,N,-8234974.66622,4977589.29664,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
2,1/25/2015 0:13,1/25/2015 0:13,1,0.02,-8237064.7943,4972266.12114,1,N,-8237301.74897,4971945.60078,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8
2,1/25/2015 0:13,1/25/2015 0:29,1,1.73,-8236077.05868,4972122.67074,1,N,-8238371.01832,4973753.42663,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3
2,1/25/2015 0:13,1/25/2015 0:25,1,2.25,-8235414.60418,4974548.16831,1,N,-8238542.57724,4973928.28588,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16
2,1/25/2015 0:13,1/25/2015 0:25,1,3.53,-8236414.23095,4971375.75238,1,N,-8235274.46964,4977368.95907,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8
2,1/25/2015 0:13,1/25/2015 0:23,1,2.01,-8231929.92452,4980292.63243,1,N,-8232865.00491,4983179.03431,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96
2,1/25/2015 0:13,1/25/2015 0:24,1,3.37,-8231576.61538,4979023.01953,1,N,-8236243.5214,4976374.97457,1,12.5,0.5,0.5,0.0,0.0,0.3,13.8
2,1/25/2015 0:13,1/25/2015 0:22,1,1.35,-8230289.07634,4977425.0244,1,N,-8228405.32903,4978614.8047,1,8.0,0.5,0.5,0.7,0.0,0.3,10.0
2,1/25/2015 0:13,1/25/2015 0:18,1,1.18,-8235752.62582,4978155.02305,1,N,-8234114.32574,4977468.75462,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1
