Date,Total Passengers,AvgPassengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalExtraAmount,AvgExtraAmount,TotalMTATax,AvgMTATax,TotalTipAmount,AvgTipAmount,TotalTollsAmount,AvgTollsAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips,Day
2/6/2015,753411,1.65,1039347.38,2.28,5130677.67,11.25,172242.8,0.38,227628,0.5,681169.96,1.49,1888,0,6350470.8,13.92,456181,Friday
2/7/2015,815116,1.72,1127282.47,2.38,5133796.97,10.86,98794.55,0.21,235950.5,0.5,647421.03,1.37,953,0,6258820.52,13.24,472781,Saturday
2/8/2015,670649,1.71,1014928.79,2.59,4284156.49,10.92,80567.5,0.21,195673,0.5,545336.39,1.39,1529,0,5225007.92,13.31,392417,Sunday
2/9/2015,591269,1.62,822494.51,2.26,3765407.4,10.33,137157.2,0.38,181856.5,0.5,509122.27,1.4,2335,0.01,4705247.14,12.91,364482,Monday
2/10/2015,656961,1.62,921658.88,2.28,4410814.23,10.9,151591.7,0.37,201930.5,0.5,606289.63,1.5,938,0,5492985.12,13.57,404715,Tuesday
2/11/2015,693815,1.63,966929.79,2.27,4767770.21,11.19,155764.2,0.37,212530.5,0.5,658564.54,1.55,1662,0,5924137.3,13.91,426020,Wednesday
2/12/2015,720895,1.64,1019336.13,2.32,5029555.37,11.44,163767.9,0.37,219371,0.5,687550.92,1.56,1606,0,6233801.91,14.17,439801,Thursday
2/13/2015,763820,1.66,1077025.67,2.34,5513737.78,11.97,165569.03,0.36,229672.5,0.5,716857.7,1.56,2356,0.01,6766532.08,14.69,460500,Friday
2/14/2015,845248,1.74,1186139.83,2.43,5527753.7,11.35,101811.43,0.21,243040,0.5,671033.52,1.38,1719,0,6691528.45,13.74,487142,Saturday
2/15/2015,769703,1.73,1094350.55,2.47,4824816.02,10.87,89847.82,0.2,221485,0.5,581812.26,1.31,1692,0,5852871.79,13.18,443940,Sunday
2/16/2015,656985,1.69,941507.63,2.42,4057619.99,10.41,64351.89,0.17,194263,0.5,507683.94,1.3,2082,0.01,4943110.05,12.69,389613,Monday
2/17/2015,622180,1.67,877601.65,2.35,4103590.61,10.99,145242.2,0.39,186195.5,0.5,540014.14,1.45,1556,0,5088598.37,13.63,373289,Tuesday
2/18/2015,684336,1.65,957807.67,2.31,4616356.92,11.11,153993.8,0.37,207255.5,0.5,611448.34,1.47,1438,0,5715136.66,13.76,415403,Wednesday
2/19/2015,749271,1.64,1041051.13,2.28,5034099.3,11.04,170186.2,0.37,227488,0.5,675396.72,1.48,1651,0,6245633.35,13.7,456017,Thursday
2/20/2015,791403,1.66,1088947.86,2.28,5556039.41,11.64,180331.92,0.38,238182.5,0.5,687420.76,1.44,2197,0,6807451.89,14.26,477403,Friday
2/21/2015,764678,1.73,1050476.08,2.38,4909580.1,11.1,91531.6,0.21,220711,0.5,614495.07,1.39,1241,0,5973588.42,13.51,442298,Saturday
2/22/2015,645836,1.71,997329.23,2.64,4232784.37,11.18,71145,0.19,188758.5,0.5,535886.56,1.42,1468,0,5143624.68,13.59,378443,Sunday
2/23/2015,671045,1.64,959644.09,2.35,4447267.01,10.88,157042.43,0.38,203974.5,0.5,593769.89,1.45,1302,0,5526002.96,13.52,408805,Monday
2/24/2015,697800,1.63,969703.94,2.26,4836613.67,11.29,156336.62,0.36,213809,0.5,644674.17,1.5,1346,0,6067691.24,14.16,428547,Tuesday
2/25/2015,691608,1.64,977522.18,2.31,4737663.12,11.22,154303.24,0.37,210675,0.5,648090.48,1.53,1493,0,5878942.59,13.92,422325,Wednesday
2/26/2015,730598,1.63,1050113.03,2.34,5055086.81,11.28,165953.37,0.37,223585,0.5,693143.44,1.55,1906,0,6274191.91,14,448237,Thursday
2/27/2015,770801,1.66,1091541.91,2.35,5281944.88,11.38,176529.83,0.38,231598.5,0.5,694100.33,1.5,1661,0,6525143.76,14.05,464258,Friday
2/28/2015,837034,1.73,1169402.12,2.41,5356766.92,11.06,102601,0.21,241664.5,0.5,664103.29,1.37,1297,0,6511777.57,13.45,484324,Saturday
3/1/2015,629670,1.71,957522.77,2.6,4162731.33,11.32,76906.5,0.21,183348,0.5,518659.43,1.41,2768,0.01,5603204.06,15.24,367742,Sunday
3/2/2015,589368,1.62,886526.27,2.44,4041729.84,11.13,138178.5,0.38,181052.5,0.5,532108.54,1.47,1651,0,5003797.91,13.78,363067,Monday
3/3/2015,613936,1.62,859802.02,2.27,4391856.79,11.61,128257.9,0.34,188761.5,0.5,584195.89,1.54,1207,0,5407835.67,14.29,378435,Tuesday
3/4/2015,675726,1.63,947418.77,2.29,4627660.58,11.18,150238.7,0.36,206441.5,0.5,633666.23,1.53,1347,0,5743538.63,13.88,413769,Wednesday
3/5/2015,584685,1.65,794130.04,2.25,3816147.37,10.79,127584.98,0.36,176311.5,0.5,513583.15,1.45,1732,0,4741433.09,13.41,353587,Thursday
3/6/2015,701690,1.67,1010680.15,2.4,4999541.18,11.89,158274.08,0.38,209727.5,0.5,653772.31,1.55,2948,0.01,6150450.48,14.62,420646,Friday
3/7/2015,843475,1.73,1189005.36,2.44,5435178.42,11.16,102480.08,0.21,242943.5,0.5,672695.65,1.38,1178,0,6603937.94,13.56,486942,Saturday
3/8/2015,669879,1.72,1030168.33,2.64,4508706.81,11.56,78862.6,0.2,194521,0.5,546696.54,1.4,1627,0,5447512.62,13.96,390141,Sunday
3/9/2015,604255,1.64,878696.01,2.38,4142423.17,11.23,136190.54,0.37,184032.5,0.5,527567.18,1.43,1771,0,5102717.47,13.83,368896,Monday
3/10/2015,641004,1.63,907825.51,2.31,4529690,11.53,141793.77,0.36,195982.5,0.5,598694.84,1.52,1144,0,5585159.79,14.22,392842,Tuesday
3/11/2015,662831,1.63,953248.67,2.35,4623584.67,11.39,148045.01,0.36,202490.5,0.5,622932.12,1.53,1664,0,5720538.81,14.09,405933,Wednesday
3/12/2015,715719,1.64,1022464.58,2.34,4932914.83,11.31,161650.59,0.37,217626,0.5,665939.33,1.53,4321,0.01,6113389.69,14.01,436337,Thursday
3/13/2015,754048,1.67,1071948.08,2.37,5111878.97,11.3,173905.9,0.38,225602,0.5,666748.47,1.47,2947,0.01,6316826.21,13.96,452374,Friday
3/14/2015,831191,1.73,1149743.08,2.4,5205351.45,10.85,101884.5,0.21,239388,0.5,647081.87,1.35,1543,0,6339239.32,13.21,479825,Saturday
3/15/2015,683126,1.72,1029772.95,2.59,4433502.23,11.14,81152,0.2,198516,0.5,546374.47,1.37,1792,0,5380765.57,13.52,398007,Sunday
3/16/2015,572947,1.64,857752.7,2.45,3905536.18,11.15,129274,0.37,174748,0.5,499879.96,1.43,1467,0,4816038.93,13.75,350363,Monday
3/17/2015,650512,1.65,923291.9,2.35,4372178.36,11.11,158168.5,0.4,196308.5,0.5,569032.42,1.45,1901,0,5415654.53,13.76,393479,Tuesday
3/18/2015,705789,1.64,1003057.52,2.33,4801116.29,11.17,160099.96,0.37,214423.5,0.5,640237.55,1.49,1495,0,5946379.04,13.83,429925,Wednesday
3/19/2015,699115,1.64,1001532.41,2.35,4828498.07,11.32,157675.5,0.37,212670.5,0.5,650217.53,1.52,1964,0,5979089.96,14.02,426382,Thursday
3/20/2015,726314,1.66,1001155.8,2.29,4778634.74,10.95,166422,0.38,217628,0.5,627073.09,1.44,1944,0,5922601.37,13.57,436317,Friday
3/21/2015,777478,1.73,1100286.32,2.45,4961405.85,11.03,93530.09,0.21,224345,0.5,610110.35,1.36,1489,0,6025869.29,13.4,449688,Saturday
3/22/2015,694015,1.71,1064420.1,2.63,5060651.61,12.5,86202.81,0.21,201939.5,0.5,562544.09,1.39,2152,0.01,6035013.92,14.9,404904,Sunday
3/23/2015,599238,1.64,867242.84,2.37,3967102.32,10.84,136314.5,0.37,182528.5,0.5,519803.92,1.42,2039,0.01,4917589.07,13.44,365932,Monday
3/24/2015,637352,1.63,911052.88,2.33,4319195.2,11.05,144020.17,0.37,195022.5,0.5,579427.23,1.48,1356,0,5356283.54,13.7,390851,Tuesday
3/25/2015,661512,1.64,942260.28,2.33,4547517.81,11.24,151575.55,0.37,201842,0.5,614935.73,1.52,2822,0.01,5640050.24,13.94,404562,Wednesday
3/26/2015,662559,1.64,951662.83,2.35,4706128.07,11.64,146470.77,0.36,201602,0.5,629963.94,1.56,1962,0,5807424.95,14.37,404213,Thursday
3/27/2015,730618,1.66,1051654.29,2.39,5019739.27,11.39,168767.2,0.38,219837.5,0.5,656607.82,1.49,1694,0,6198878.8,14.07,440640,Friday
3/28/2015,853971,1.73,1187551.03,2.41,5580928.33,11.32,106834.5,0.22,246042.5,0.5,670225.9,1.36,1159,0,6753157.54,13.7,493098,Saturday
3/29/2015,690438,1.72,1049832.75,2.61,4587389.66,11.42,84597.74,0.21,200310,0.5,564854.27,1.41,1545,0,5559229.93,13.84,401578,Sunday
3/30/2015,603132,1.64,882275.95,2.4,4136006.73,11.24,135241.9,0.37,183686.5,0.5,527039.02,1.43,1499,0,5097305.67,13.85,368113,Monday
3/31/2015,671763,1.64,943026.95,2.3,4680740.72,11.43,149505.8,0.37,204234.5,0.5,610154.13,1.49,1477,0,5768969.22,14.09,409416,Tuesday
4/1/2015,690066,1.65,978257.81,2.34,4776991.13,11.41,152841.23,0.37,208877.5,0.5,628426.04,1.5,2372,0.01,5895155.29,14.08,418682,Wednesday
4/2/2015,696448,1.66,997762.59,2.37,4963153.74,11.81,152330,0.36,209642,0.5,637689.22,1.52,1726,0,6090674.3,14.49,420248,Thursday
4/3/2015,720525,1.7,1021265.56,2.41,4702807.77,11.12,162427,0.38,211006,0.5,579752.22,1.37,1548,0,5784695.61,13.67,423049,Friday
4/4/2015,752017,1.76,1046190.73,2.45,4649169.82,10.87,89215.4,0.21,213412,0.5,526345.3,1.23,1245,0,5611173.78,13.12,427708,Saturday
4/5/2015,624805,1.74,971433.33,2.71,4029243.26,11.25,72480,0.2,178630,0.5,462563.43,1.29,1597,0,4852025.71,13.55,358184,Sunday
4/6/2015,582520,1.66,858814.13,2.44,3873922.63,11.02,132464.03,0.38,175404.5,0.5,473275.99,1.35,2378,0.01,4762965.79,13.54,351684,Monday
4/7/2015,670298,1.65,930919.32,2.3,4446716.41,10.97,155319.04,0.38,202307.5,0.5,572823.54,1.41,1472,0,5500265.62,13.57,405442,Tuesday
4/8/2015,699198,1.65,980176.89,2.32,4752890.11,11.25,156962.09,0.37,210861.5,0.5,619627.53,1.47,2192,0.01,5869333.12,13.89,422654,Wednesday
4/9/2015,726370,1.66,1024103.01,2.34,4909295.63,11.22,162473.7,0.37,218282.5,0.5,647184.68,1.48,1824,0,6070322.62,13.87,437510,Thursday
4/10/2015,747331,1.68,1058873.63,2.38,5004147.4,11.22,170600.3,0.38,222401.5,0.5,638774,1.43,1684,0,6171405.86,13.84,445828,Friday
4/11/2015,799212,1.74,1147652.53,2.5,5301040.83,11.57,101421.5,0.22,228602.5,0.5,637577.3,1.39,1620,0,6407892.28,13.98,458232,Saturday
4/12/2015,663345,1.72,1044338.92,2.71,4456279.67,11.57,82046.2,0.21,192102,0.5,541102.01,1.4,2116,0.01,6039493.06,15.68,385249,Sunday
4/13/2015,578086,1.64,865465.88,2.45,4106572,11.63,131565.72,0.37,176123.5,0.5,494958.26,1.4,1760,0,5016912.42,14.21,353100,Monday
4/14/2015,636709,1.63,922837.61,2.36,4391734.52,11.24,144974.9,0.37,194945.5,0.5,583260.15,1.49,1350,0,5433499.5,13.91,390713,Tuesday
4/15/2015,660290,1.63,965636.45,2.39,4703984.76,11.65,148863.8,0.37,201517.5,0.5,622664.64,1.54,1417,0,5799652.27,14.36,403859,Wednesday
4/16/2015,697705,1.63,1023814.83,2.4,4967967.4,11.64,160406.6,0.38,212955.5,0.5,665149.74,1.56,1486,0,6136224,14.38,426866,Thursday
4/17/2015,739053,1.66,1066984.56,2.4,5164097.7,11.62,166889.1,0.38,221749.5,0.5,670651.95,1.51,1861,0,6358610.48,14.31,444454,Friday
4/18/2015,838086,1.73,1231182.98,2.55,5680405.33,11.74,101304,0.21,241400.5,0.5,692607.02,1.43,1260,0,6862201.92,14.19,483748,Saturday
4/19/2015,722650,1.72,1134781.63,2.69,4875664.31,11.57,86239.4,0.2,210123.5,0.5,598480.6,1.42,2227,0.01,5899373.72,14.01,421232,Sunday
4/20/2015,617431,1.64,874417.45,2.32,4187724.16,11.13,135404.82,0.36,187847,0.5,543338.57,1.44,1211,0,5168497.89,13.73,376419,Monday
4/21/2015,659568,1.64,957926.98,2.38,4598666.13,11.45,149898.71,0.37,200456.5,0.5,612119.7,1.52,2881,0.01,5684582.23,14.15,401784,Tuesday
4/22/2015,669136,1.63,966648.9,2.36,4749578.62,11.6,150702.43,0.37,204349.5,0.5,636236.44,1.55,2136,0.01,5865910.3,14.32,409621,Wednesday
4/23/2015,721602,1.65,1033475.48,2.36,5137093.4,11.73,162400.67,0.37,218534,0.5,683846.15,1.56,1520,0,6334857.97,14.46,438003,Thursday
4/24/2015,747079,1.67,1063201.24,2.37,5288875.89,11.79,168293.3,0.38,223737.5,0.5,678641.64,1.51,1868,0,6495985.46,14.48,448477,Friday
4/25/2015,816070,1.73,1178180.35,2.49,5440184.79,11.52,100844,0.21,235666.5,0.5,661848.43,1.4,1850,0,6582127.62,13.94,472312,Saturday
4/26/2015,681042,1.7,1081184.89,2.71,4672664.37,11.69,83309.5,0.21,199292.5,0.5,571703.26,1.43,2071,0.01,5648963.28,14.14,399604,Sunday
4/27/2015,602008,1.63,892193.99,2.42,4077609.35,11.05,137600.71,0.37,184126,0.5,529192.26,1.43,1644,0,5040938.72,13.66,369017,Monday
4/28/2015,638508,1.63,923406.92,2.36,4426752.45,11.34,145315.55,0.37,194887.5,0.5,588488.93,1.51,1395,0,5474013.44,14.02,390534,Tuesday
4/29/2015,663858,1.64,954146.65,2.36,4732586.25,11.71,148593.88,0.37,201589,0.5,628365.89,1.56,1543,0,5833914.75,14.44,404076,Wednesday
4/30/2015,687261,1.64,1012029.52,2.41,4971562.71,11.84,157857.67,0.38,209523.5,0.5,665592.17,1.58,1592,0,6132202.77,14.6,419991,Thursday
5/1/2015,729655,1.67,1050591.98,2.41,5139299.97,11.78,166855.74,0.38,217596,0.5,656585.01,1.51,2118,0,6318943.8,14.49,436190,Friday
5/2/2015,849241,1.73,1227222.05,2.5,5532579.05,11.28,103424.8,0.21,244805.5,0.5,668668.12,1.36,1619,0,6698311.28,13.65,490555,Saturday
5/3/2015,701865,1.72,1117890.1,2.74,4696170.35,11.5,86744.5,0.21,203714,0.5,564561.04,1.38,2237,0.01,5675991.65,13.89,408502,Sunday
5/4/2015,598183,1.64,888809.92,2.44,4159987.92,11.41,134926.9,0.37,181798,0.5,526578.84,1.44,1826,0.01,5114489.8,14.03,364455,Monday
5/5/2015,674671,1.65,969875.78,2.37,4638885.49,11.33,153496.5,0.37,204345.5,0.5,613721.47,1.5,1514,0,5734858.43,14.01,409484,Tuesday
5/6/2015,692026,1.65,997473.83,2.37,4843729.86,11.51,153529.7,0.36,209905.5,0.5,648179.78,1.54,2105,0.01,5983678.08,14.22,420680,Wednesday
5/7/2015,682831,1.64,999911.05,2.41,4925831.16,11.86,154617.84,0.37,207184,0.5,653538.5,1.57,1919,0,6068071.7,14.61,415306,Thursday
5/8/2015,703734,1.66,1028462.28,2.43,4990532.07,11.77,160517.5,0.38,211499,0.5,641502.01,1.51,2004,0,6133290.66,14.47,423989,Friday
5/9/2015,781947,1.73,1134910.71,2.51,5138055.06,11.37,92185.35,0.2,225454.5,0.5,620309.47,1.37,1465,0,6213088.77,13.75,451844,Saturday
5/10/2015,657810,1.72,1027664,2.69,4386465.62,11.49,75496,0.2,190366,0.5,519258.2,1.36,2710,0.01,5290034.48,13.86,381701,Sunday
5/11/2015,609670,1.65,899143.19,2.44,4212934.93,11.41,135848.2,0.37,184230.5,0.5,541870.38,1.47,1370,0,5187039.08,14.05,369172,Monday
5/12/2015,656505,1.64,957668.8,2.39,4701967.17,11.74,147702.35,0.37,199818.5,0.5,619943.17,1.55,1481,0,5791139.68,14.46,400442,Tuesday
5/13/2015,679255,1.65,991043.03,2.4,4916563.53,11.92,154207.9,0.37,205753,0.5,653899.93,1.59,1696,0,6055913.09,14.68,412420,Wednesday
5/14/2015,682766,1.66,1016346.26,2.47,5091940.17,12.37,148610.8,0.36,205340.5,0.5,670754.11,1.63,1923,0,6242119.74,15.16,411670,Thursday
5/15/2015,718511,1.67,1068607,2.49,5195131.93,12.1,166562.3,0.39,214129.5,0.5,662645.66,1.54,2408,0.01,6369798.06,14.84,429300,Friday
5/16/2015,798692,1.74,1180709.19,2.57,5521452.36,12.02,98260.5,0.21,229155,0.5,666614.72,1.45,1660,0,6654989.11,14.49,459380,Saturday
5/17/2015,678451,1.71,1083236.27,2.74,4667896.18,11.8,79553.1,0.2,197281.5,0.5,561621.04,1.42,2942,0.01,5628148.82,14.22,395653,Sunday
5/18/2015,622362,1.64,932900.12,2.46,4359815.51,11.52,140386.5,0.37,188833.5,0.5,553780.77,1.46,1909,0.01,5358312.86,14.16,378507,Monday
5/19/2015,667893,1.64,989179.58,2.43,4780942.55,11.77,148012.7,0.36,202664,0.5,625258.24,1.54,2391,0.01,5881225.28,14.48,406258,Tuesday
5/20/2015,687060,1.65,1012466.43,2.44,4940869.42,11.9,153024.3,0.37,207166,0.5,648845.4,1.56,2051,0,6076568.01,14.63,415274,Wednesday
5/21/2015,698524,1.66,1020798.48,2.43,5016153.47,11.92,153950.5,0.37,209933.5,0.5,658496.63,1.56,2555,0.01,6167370.91,14.65,420838,Thursday
5/22/2015,665719,1.68,975926.94,2.47,4585733.85,11.6,147774.3,0.37,197226,0.5,567321.31,1.43,1906,0,5618608.03,14.21,395410,Friday
5/23/2015,648430,1.76,959265.31,2.61,4134685.24,11.24,78296.3,0.21,183524,0.5,457444.45,1.24,1477,0,4965820.6,13.5,367869,Saturday
5/24/2015,569885,1.77,877953.63,2.73,3645617.58,11.34,68133.1,0.21,160417.5,0.5,392944.38,1.22,1185,0,4364792.73,13.57,321595,Sunday
5/25/2015,485601,1.73,794050.01,2.84,3164267.42,11.3,55298,0.2,139622.5,0.5,368520.21,1.32,1738,0.01,3813477.81,13.62,280004,Monday
5/26/2015,598320,1.65,876488.47,2.42,4110282.16,11.33,134121.5,0.37,181041,0.5,519897.8,1.43,1772,0,5056006.6,13.93,362870,Tuesday
5/27/2015,649240,1.65,924155.55,2.34,4616943.74,11.7,144397.05,0.37,196876.5,0.5,598521.22,1.52,1753,0,5676916.78,14.39,394604,Wednesday
5/28/2015,671763,1.65,972500.35,2.38,4857102.94,11.91,149457.62,0.37,203517.5,0.5,638405.53,1.57,1595,0,5972516.24,14.64,407901,Thursday
5/29/2015,697490,1.67,1014053.14,2.43,4932733.11,11.8,159727,0.38,208478.5,0.5,629153.94,1.51,1705,0,6057211.53,14.5,417868,Friday
5/30/2015,756128,1.73,1125466.51,2.58,5083532.69,11.66,92033,0.21,217551.5,0.5,611607.8,1.4,1429,0,6137008.8,14.08,435979,Saturday
5/31/2015,600478,1.72,978929.43,2.8,4391528.28,12.56,75174.51,0.22,174328.5,0.5,528937.92,1.51,1329,0,5276212.94,15.09,349616,Sunday
6/1/2015,616002,1.64,905952.1,2.41,4331948.94,11.53,140299.9,0.37,187374,0.5,560830.55,1.49,1706,0,5334890.81,14.2,375596,Monday
