Date,Total Passengers,AvgPassengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalExtraAmount,AvgExtraAmount,TotalMTATax,AvgMTATax,TotalTipAmount,AvgTipAmount,TotalTollsAmount,AvgTollsAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips,Day
6/13/2015,721194,1.74,1056965.19,2.56,4742079.39,11.47,88509.56,0.21,206217.5,0.5,558033.44,1.35,1424,0,5720312.45,13.84,413404,Saturday
6/14/2015,626353,1.74,980727.37,2.72,4176924.28,11.59,82205,0.23,179785.5,0.5,498787.49,1.38,1267,0,5047173.88,14,360501,Sunday
6/15/2015,577031,1.65,853190.46,2.43,3974107.99,11.33,128783.5,0.37,174939.5,0.5,512821.56,1.46,1372,0,4897215.8,13.97,350619,Monday
6/16/2015,620204,1.64,899552.51,2.38,4360931.82,11.54,138703.5,0.37,188547.5,0.5,582438.12,1.54,1587,0,5385608.25,14.25,377893,Tuesday
6/17/2015,663051,1.65,966882.88,2.41,4732577.86,11.78,149785.5,0.37,200518,0.5,632610.85,1.57,2100,0.01,5838173.12,14.53,401851,Wednesday
6/18/2015,666126,1.65,975524.78,2.41,4724096.96,11.67,149633.4,0.37,201946,0.5,634456.85,1.57,1971,0,5833561.46,14.41,404719,Thursday
6/19/2015,691552,1.68,1006774.47,2.44,4766776.79,11.56,158039,0.38,205781,0.5,611279,1.48,1830,0,5867481.27,14.23,412468,Friday
6/20/2015,693927,1.74,1020560.15,2.55,4546822.2,11.38,85346.3,0.21,199386.5,0.5,543150.99,1.36,1534,0,5502484.77,13.77,399571,Saturday
6/21/2015,602126,1.74,953306.39,2.75,3990170.87,11.52,72362.9,0.21,172796,0.5,473766.27,1.37,1651,0,4814792.65,13.9,346474,Sunday
6/22/2015,580381,1.66,859824.5,2.45,3950794.91,11.28,131761,0.38,174783,0.5,500671.34,1.43,1400,0,4864521.52,13.89,350292,Monday
6/23/2015,635285,1.65,896978.95,2.32,4380500.6,11.35,141662.3,0.37,192658,0.5,578521.76,1.5,1470,0,5410665.08,14.02,386035,Tuesday
6/24/2015,641556,1.65,929502.47,2.4,4565416.83,11.77,143011.53,0.37,193538.5,0.5,600215.42,1.55,1567,0,5620144.78,14.49,387898,Wednesday
6/25/2015,655694,1.66,960299.24,2.43,4736283.96,11.96,146165.6,0.37,197483.5,0.5,621942.94,1.57,1746,0,5822543.07,14.71,395907,Thursday
6/26/2015,675608,1.68,984855.03,2.45,5091559.39,12.64,153622.8,0.38,200872,0.5,606830.28,1.51,2056,0.01,6175834.05,15.33,402797,Friday
6/27/2015,751922,1.75,1062481.13,2.48,5088470.12,11.86,95070,0.22,214137.5,0.5,595546.6,1.39,1352,0,6123370.45,14.27,429207,Saturday
6/28/2015,567925,1.73,886868.09,2.71,3937647.73,12.02,71687.5,0.22,163281.5,0.5,474895.11,1.45,1632,0,4747446.09,14.5,327512,Sunday
6/29/2015,561736,1.66,837290.74,2.47,3874016.99,11.45,125324.8,0.37,168793.5,0.5,486342.5,1.44,1886,0.01,4757909.98,14.06,338350,Monday
6/30/2015,587165,1.65,841939.87,2.37,4073779.53,11.46,130435.5,0.37,177372,0.5,530183.18,1.49,2168,0.01,5020656.35,14.12,355494,Tuesday
7/1/2015,609842,1.65,885482.36,2.39,4213306.08,11.39,138840.6,0.38,184557,0.5,549648.85,1.49,2521,0.01,5199937.94,14.06,369956,Wednesday
7/2/2015,576512,1.67,834628,2.41,4165944.5,12.03,129160.5,0.37,172717,0.5,502204.34,1.45,1440,0,5075373.89,14.66,346240,Thursday
7/3/2015,506580,1.74,750940.47,2.59,3169854.74,10.91,77094.1,0.27,144898.5,0.5,357461.35,1.23,980,0,3837463.97,13.21,290493,Friday
7/4/2015,439270,1.79,661337.39,2.7,2727939.94,11.14,54805.5,0.22,122124.5,0.5,284406.14,1.16,750,0,3263491.81,13.33,244830,Saturday
7/5/2015,451101,1.76,735750.64,2.87,2957363.04,11.52,52832.8,0.21,128055,0.5,334262.56,1.3,914,0,3550475.89,13.83,256787,Sunday
7/6/2015,489909,1.66,747227.13,2.54,3273346.57,11.12,110526.1,0.38,146795.5,0.5,402933.72,1.37,1110,0,4023012.09,13.67,294331,Monday
7/7/2015,579431,1.66,823146.84,2.36,3927081.94,11.26,130282.5,0.37,174013,0.5,505734.71,1.45,1230,0,4843000.65,13.89,348744,Tuesday
7/8/2015,622682,1.66,877279.63,2.35,4211873.92,11.26,138095,0.37,186621.5,0.5,552754.14,1.48,1987,0.01,5203579.42,13.91,374007,Wednesday
7/9/2015,641078,1.66,909416.23,2.36,4411868.56,11.45,144761.5,0.38,192277.5,0.5,581740.27,1.51,1759,0,5448390.34,14.14,385423,Thursday
7/10/2015,639848,1.68,928806.69,2.44,4379798.6,11.52,149010.2,0.39,189644,0.5,556183.35,1.46,2034,0.01,5391064.22,14.18,380217,Friday
7/11/2015,692498,1.76,995886.45,2.54,4395796.2,11.2,85986,0.22,195862.5,0.5,523277.25,1.33,881,0,5319642.4,13.55,392628,Saturday
7/12/2015,600078,1.75,937199.3,2.73,3908903.24,11.38,73056,0.21,171223,0.5,470476.4,1.37,2482,0.01,4729198.05,13.77,343380,Sunday
7/13/2015,544688,1.66,806072.62,2.46,3669883.89,11.18,122688.2,0.37,163776,0.5,464512.11,1.42,1238,0,4520590.61,13.77,328256,Monday
7/14/2015,609246,1.66,869839.55,2.37,4199447.52,11.46,134415,0.37,182835,0.5,552627.36,1.51,1240,0,5180539.87,14.14,366400,Tuesday
7/15/2015,634357,1.65,916620.42,2.39,4485027.28,11.69,143255,0.37,191399.5,0.5,599014.63,1.56,1340,0,5535162.79,14.43,383604,Wednesday
7/16/2015,623922,1.66,921719.93,2.45,4511189.93,11.97,138074.1,0.37,187935.5,0.5,591826.16,1.57,2047,0.01,5544155.24,14.71,376826,Thursday
7/17/2015,571891,1.66,872932.02,2.54,4056106.36,11.79,131511,0.38,171523.5,0.5,513656.42,1.49,1829,0.01,4977880.33,14.47,343976,Friday
7/18/2015,681513,1.75,995859.8,2.56,4417012.35,11.35,83296.5,0.21,194192.5,0.5,523070.45,1.34,1335,0,5335718.12,13.71,389208,Saturday
7/19/2015,652820,1.75,996579.8,2.67,4226166.71,11.3,76142,0.2,186461.5,0.5,504743.1,1.35,3670,0.01,5109374.29,13.67,373890,Sunday
7/20/2015,590608,1.68,855477.97,2.43,3955883.03,11.26,131627.5,0.37,175293.5,0.5,499233.5,1.42,1533,0,4869006.18,13.86,351363,Monday
7/21/2015,590600,1.66,842718.09,2.37,4160140.71,11.69,125735,0.35,177475,0.5,543625.54,1.53,1848,0.01,5115570.58,14.38,355758,Tuesday
7/22/2015,614792,1.66,894686.47,2.41,4397893.95,11.87,135184.5,0.36,184830.5,0.5,575958.3,1.55,1656,0,5406696.57,14.59,370560,Wednesday
7/23/2015,634612,1.66,931124.88,2.44,4501227.18,11.79,141594,0.37,190416.5,0.5,592768.29,1.55,1661,0,5542210.25,14.52,381754,Thursday
7/24/2015,642968,1.68,945354.73,2.47,4457527.99,11.65,147662.8,0.39,190803.5,0.5,565540.07,1.48,2558,0.01,5478889.29,14.32,382569,Friday
7/25/2015,654842,1.76,960144.36,2.58,4249605.39,11.44,81992.38,0.22,185308,0.5,493441.24,1.33,1293,0,5145662.07,13.85,371511,Saturday
7/26/2015,574139,1.75,892773.8,2.71,3761294.33,11.44,68941,0.21,163995,0.5,442685.42,1.35,1491,0,4537100.77,13.79,328898,Sunday
7/27/2015,541873,1.66,802979.68,2.46,3703007.91,11.34,121679.5,0.37,162898,0.5,464386.56,1.42,1305,0,4551289.16,13.94,326516,Monday
7/28/2015,611347,1.68,859487.53,2.36,4131348.81,11.33,134753.75,0.37,181882,0.5,538641.25,1.48,1278,0,5097275.67,13.98,364518,Tuesday
7/29/2015,641972,1.67,907399.34,2.35,4406378.08,11.43,145894.8,0.38,192323,0.5,585820.55,1.52,1516,0,5447639.37,14.13,385461,Wednesday
7/30/2015,617680,1.67,883935.88,2.39,4478934.84,12.1,129516.1,0.35,184597,0.5,589795.78,1.59,1961,0.01,5495869.14,14.85,370080,Thursday
7/31/2015,632951,1.69,918601.6,2.46,4474747.22,11.98,142897.4,0.38,186283.5,0.5,560278.29,1.5,2686,0.01,5478980.46,14.67,373481,Friday
8/1/2015,656597,1.76,962871.25,2.58,4263161.24,11.43,81222.51,0.22,186067,0.5,493944.35,1.32,1472,0,5137789.81,13.77,372991,Saturday
8/2/2015,573412,1.75,893957.02,2.73,3754425.14,11.46,69115.8,0.21,163404.5,0.5,440391.82,1.34,1309,0,4527001.22,13.82,327658,Sunday
8/3/2015,545803,1.67,796864.16,2.44,3653356,11.19,122250,0.37,162950,0.5,455982.65,1.4,1401,0,4493970.3,13.76,326622,Monday
8/4/2015,594905,1.67,843045.31,2.37,4043871.52,11.35,131008.5,0.37,177852,0.5,520561.39,1.46,1208,0,4981477.82,13.98,356432,Tuesday
8/5/2015,618538,1.67,892077.28,2.41,4256615.2,11.48,138172.7,0.37,184936,0.5,559397.7,1.51,1310,0,5251713.47,14.17,370719,Wednesday
8/6/2015,617894,1.67,898033.27,2.43,4308604.19,11.68,139169.81,0.38,184016.5,0.5,564938.83,1.53,1563,0,5309026.36,14.39,368991,Thursday
8/7/2015,617684,1.69,905389.74,2.47,4242509.84,11.59,141925,0.39,182508,0.5,535615.29,1.46,1618,0,5214001.8,14.25,365942,Friday
8/8/2015,614363,1.76,911209.14,2.61,3968521.72,11.37,77538.78,0.22,174118,0.5,460931.73,1.32,1372,0,4787256.82,13.71,349104,Saturday
8/9/2015,522792,1.76,835856.22,2.81,3509475.31,11.79,65145,0.22,148451.5,0.5,410888.31,1.38,1228,0,4224577.17,14.19,297790,Sunday
8/10/2015,501288,1.67,753607.04,2.51,3374324.58,11.25,112197.55,0.37,149674.5,0.5,419891.63,1.4,3528,0.01,4149667.17,13.83,300010,Monday
8/11/2015,561961,1.66,797865.55,2.36,3777281.56,11.16,124395.96,0.37,168957,0.5,495428.3,1.46,1314,0,4669036.91,13.79,338574,Tuesday
8/12/2015,582428,1.67,849479.49,2.43,4078139.01,11.66,129659.53,0.37,174433,0.5,526515.81,1.51,1505,0,5015238.22,14.34,349652,Wednesday
8/13/2015,597051,1.66,880002.42,2.45,4215794.83,11.73,136247.48,0.38,179283.5,0.5,550872.8,1.53,1432,0,5191509.56,14.44,359523,Thursday
8/14/2015,602082,1.69,885664.33,2.48,4208717.44,11.78,137148.8,0.38,178059.5,0.5,526163.72,1.47,1618,0,5158944.81,14.44,357169,Friday
8/15/2015,622493,1.75,925911.48,2.61,4089743.6,11.51,76417.5,0.22,177249,0.5,471906.9,1.33,2246,0.01,4924244.75,13.85,355427,Saturday
8/16/2015,550791,1.75,866932.83,2.75,3619622.37,11.48,65081,0.21,157291,0.5,423882.69,1.34,2183,0.01,4362746.37,13.83,315429,Sunday
8/17/2015,526482,1.66,778279.01,2.46,3560339.66,11.23,118757.22,0.37,158185.5,0.5,444825.4,1.4,1312,0,4378554.09,13.81,317014,Monday
8/18/2015,583732,1.66,837094.31,2.38,3967978.92,11.29,130403,0.37,175279.5,0.5,510433.35,1.45,1303,0,4890896.83,13.92,351305,Tuesday
8/19/2015,598384,1.66,864536.67,2.4,4117581.52,11.44,133451.7,0.37,179459,0.5,535071.04,1.49,3312,0.01,5076870.62,14.11,359800,Wednesday
8/20/2015,608991,1.66,894235.55,2.43,4285395.94,11.65,138324.6,0.38,183406.5,0.5,554749.56,1.51,1412,0,5273652.71,14.34,367697,Thursday
8/21/2015,604368,1.69,898776.73,2.51,4147452.95,11.57,140431.51,0.39,178774,0.5,516462.67,1.44,3094,0.01,5093792.87,14.21,358516,Friday
8/22/2015,603031,1.76,899813.7,2.62,3939793.9,11.48,74904.01,0.22,171181,0.5,453065.52,1.32,1245,0,4743221.29,13.82,343254,Saturday
8/23/2015,514665,1.74,835204.17,2.82,3438471.79,11.6,62933.5,0.21,147697,0.5,400091.03,1.35,1819,0.01,4140023,13.97,296295,Sunday
8/24/2015,490422,1.65,746170.01,2.51,3311881.68,11.16,111897.5,0.38,147965.5,0.5,409461.5,1.38,1674,0.01,4071946.81,13.72,296703,Monday
8/25/2015,545095,1.66,791814.46,2.41,3689444.53,11.24,123414.51,0.38,163785.5,0.5,473994.46,1.44,1218,0,4550373.2,13.86,328328,Tuesday
8/26/2015,558086,1.66,818748.35,2.43,3843923.01,11.4,128288.02,0.38,168155,0.5,500813.08,1.49,1284,0,4743616.1,14.07,337094,Wednesday
8/27/2015,574142,1.65,855409.76,2.46,4023176.91,11.58,133818.54,0.39,173182,0.5,523554.32,1.51,1904,0.01,4959846.01,14.28,347279,Thursday
8/28/2015,582264,1.68,862884.55,2.49,3992397.94,11.53,136348.1,0.39,172711,0.5,496473.26,1.43,1457,0,4903356.15,14.16,346338,Friday
8/29/2015,598824,1.74,889078.09,2.58,3931559.1,11.42,74891.3,0.22,171735,0.5,453272.62,1.32,1350,0,4736175.5,13.76,344308,Saturday
8/30/2015,538731,1.72,859936.55,2.75,3599952.71,11.5,65669.5,0.21,156050.5,0.5,419516.32,1.34,1433,0,4336657.09,13.86,312961,Sunday
8/31/2015,497315,1.65,743626.62,2.46,3335022.03,11.05,112629.01,0.37,150606,0.5,417054.88,1.38,1381,0,4107441.17,13.61,301880,Monday
9/1/2015,547264,1.64,794892.34,2.39,3715701.23,11.15,123956.9,0.37,166219.5,0.5,478839.15,1.44,1550,0,4587078.63,13.77,333191,Tuesday
9/2/2015,574087,1.65,830678.07,2.38,3925770.72,11.26,129719.5,0.37,173878.5,0.5,512551.19,1.47,1299,0,4847793.72,13.91,348494,Wednesday
9/3/2015,587230,1.65,856860.39,2.41,4070126.59,11.43,133547.1,0.38,177542.5,0.5,525691.93,1.48,1665,0,5015394.78,14.09,355960,Thursday
9/4/2015,570857,1.68,848402.97,2.5,3908884.07,11.51,129742.3,0.38,169374.5,0.5,468071.76,1.38,1802,0.01,4779801.42,14.07,339644,Friday
9/5/2015,556532,1.76,836930.52,2.64,3568257.23,11.26,66979,0.21,158021.5,0.5,384155.13,1.21,1064,0,4273544.58,13.49,316759,Saturday
9/6/2015,504876,1.76,785814.89,2.74,3309924.43,11.56,59881.5,0.21,142834.5,0.5,348935.17,1.22,1203,0,3948727.5,13.79,286405,Sunday
9/7/2015,451222,1.72,749669.44,2.86,2987963.2,11.41,49329,0.19,130519,0.5,350559.74,1.34,1619,0.01,3598542.39,13.75,261790,Monday
9/8/2015,575695,1.64,837559.02,2.39,4116183.23,11.75,127612.01,0.36,174802,0.5,509234.98,1.45,1989,0.01,5034947.18,14.37,350383,Tuesday
9/9/2015,614320,1.64,891992.5,2.38,4490761.3,11.98,132142,0.35,187030,0.5,589906.32,1.57,1883,0.01,5514206.55,14.71,374895,Wednesday
9/10/2015,623291,1.64,896182.75,2.36,4690812.7,12.38,136329.25,0.36,189082.5,0.5,618768.74,1.63,1677,0,5750408.52,15.17,379046,Thursday
9/11/2015,643496,1.66,951097.49,2.45,4710568.18,12.15,144210.8,0.37,193334,0.5,606577.24,1.56,1964,0.01,5772996.67,14.89,387706,Friday
9/12/2015,724256,1.73,1038898.81,2.49,4867082.45,11.65,88831.04,0.21,208386.5,0.5,591931.76,1.42,1403,0,5882939.17,14.09,417671,Saturday
9/13/2015,623487,1.72,965444.03,2.67,4163287.34,11.51,73540,0.2,180320,0.5,510388.44,1.41,1555,0,5037596.25,13.93,361558,Sunday
9/14/2015,539191,1.67,799908.05,2.47,3631011.44,11.22,122905.75,0.38,161481,0.5,462201.29,1.43,1737,0.01,4476448.21,13.83,323702,Monday
9/15/2015,589000,1.65,853838.48,2.4,4101208.34,11.52,133468.46,0.37,177651,0.5,544376.81,1.53,1870,0.01,5065425.06,14.22,356138,Tuesday
9/16/2015,622713,1.65,908338.93,2.41,4585246.11,12.14,138511.3,0.37,188411.5,0.5,610602.11,1.62,1607,0,5637707.07,14.93,377640,Wednesday
9/17/2015,634165,1.64,937620.18,2.43,4708824.64,12.2,141116,0.37,192408.5,0.5,627009.04,1.63,1757,0,5786854.89,15,385843,Thursday
9/18/2015,671023,1.67,982779.76,2.44,4842262.45,12.02,155588.28,0.39,201000,0.5,627802.03,1.56,1623,0,5949163.17,14.76,402980,Friday
9/19/2015,738233,1.73,1072433.69,2.52,4956163.31,11.64,88583.5,0.21,212491.5,0.5,601075.57,1.41,1312,0,5987423.11,14.06,425888,Saturday
9/20/2015,640946,1.73,999130.28,2.7,4292263.14,11.58,74452.6,0.2,184714,0.5,508616.26,1.37,1511,0,5172763.14,13.96,370633,Sunday
9/21/2015,548796,1.64,819520.78,2.44,3824664.52,11.4,126539,0.38,167426,0.5,493023.55,1.47,1526,0,4713854.56,14.05,335613,Monday
9/22/2015,570897,1.64,814030.3,2.33,3882793.45,11.13,130051.13,0.37,174072.5,0.5,516562.24,1.48,1336,0,4809490.41,13.78,348953,Tuesday
9/23/2015,566640,1.67,809109.19,2.38,3687464.9,10.86,133935.01,0.39,169257,0.5,485392.9,1.43,1704,0.01,4579550.81,13.49,339405,Wednesday
9/24/2015,493233,1.62,761019.14,2.51,3372542.82,11.1,118331.53,0.39,151441,0.5,447288.94,1.47,1692,0.01,4182393.29,13.77,303759,Thursday
9/25/2015,579146,1.68,851433.9,2.47,3794555,11.02,140988.77,0.41,171710,0.5,487028.55,1.41,1978,0.01,4699527.42,13.65,344318,Friday
9/26/2015,718986,1.75,1040884.63,2.53,4862766.96,11.81,87604.83,0.21,205337.5,0.5,582883.34,1.42,1406,0,5863457.23,14.25,411598,Saturday
9/27/2015,609531,1.71,975065.91,2.74,4258624,11.98,73822.03,0.21,177218.5,0.5,518297.43,1.46,1675,0,5136256.96,14.45,355452,Sunday
9/28/2015,493345,1.65,756518.56,2.53,4111962.8,13.73,114059.5,0.38,149361,0.5,478822.38,1.6,2150,0.01,4946198.68,16.51,299568,Monday
9/29/2015,555378,1.64,810453.31,2.39,4028707.94,11.86,128314.4,0.38,169400.5,0.5,542473.46,1.6,1962,0.01,4972742,14.64,339680,Tuesday
9/30/2015,589603,1.64,855731.6,2.39,4295531.96,11.97,134254.35,0.37,178903,0.5,584349.71,1.63,1869,0.01,5302490.98,14.78,358720,Wednesday
10/1/2015,607314,1.64,882973.57,2.39,4470517.29,12.1,135083.76,0.37,184257.5,0.5,599612.35,1.62,2119,0.01,5502397.8,14.89,369469,Thursday
10/2/2015,650021,1.66,910786.26,2.32,4584523.44,11.7,147004.5,0.38,195394,0.5,598410.38,1.53,2823,0.01,5645669.68,14.41,391854,Friday
10/3/2015,689229,1.73,951176.61,2.39,4346473.02,10.91,78143,0.2,198791,0.5,541339.05,1.36,1744,0,5286000.17,13.27,398431,Saturday
10/4/2015,589950,1.72,907366.02,2.64,3904956.24,11.36,69446.5,0.2,171380,0.5,488254.83,1.42,1610,0,4738727.17,13.79,343678,Sunday
10/5/2015,527556,1.64,780103.46,2.42,3567162.57,11.07,122069.02,0.38,160791.5,0.5,463417.15,1.44,1306,0,4411419.24,13.69,322335,Monday
10/6/2015,577748,1.64,835855.93,2.37,4005613.59,11.34,133889.7,0.38,176213.5,0.5,535008.58,1.51,1395,0,4958057.27,14.04,353232,Tuesday
10/7/2015,600729,1.63,879409.28,2.39,4328060.56,11.77,137824.38,0.37,183375,0.5,583626.69,1.59,1560,0,5344699.43,14.54,367612,Wednesday
10/8/2015,628071,1.64,920784.93,2.41,4548155.74,11.9,142694.7,0.37,190596.5,0.5,607325.15,1.59,2177,0.01,5605569.19,14.67,382174,Thursday
10/9/2015,626603,1.66,920710.12,2.44,4586864,12.13,139133.51,0.37,188502.5,0.5,591390.1,1.56,2210,0.01,5621486.71,14.87,378072,Friday
10/10/2015,720502,1.74,1040114.6,2.51,4793657.6,11.58,85846.41,0.21,206479,0.5,572089.5,1.38,2270,0.01,5784525.07,13.97,414003,Saturday
10/11/2015,615295,1.73,958884.18,2.7,4230419.24,11.91,76070.59,0.21,176992,0.5,504342.2,1.42,1942,0.01,5096269.53,14.35,355082,Sunday
10/12/2015,506407,1.67,787119.69,2.59,3424330.12,11.27,48012.2,0.16,151541,0.5,425987.4,1.4,1763,0.01,4142778.02,13.63,303892,Monday
10/13/2015,582856,1.63,855273.94,2.4,4109899.91,11.53,132360.4,0.37,177850.5,0.5,544194.2,1.53,1172,0,5072398.41,14.23,356540,Tuesday
10/14/2015,604714,1.64,880541.28,2.38,4327455.08,11.71,138364.24,0.37,184362,0.5,582276.05,1.58,1506,0,5344800.27,14.46,369555,Wednesday
10/15/2015,625423,1.64,919082.4,2.4,4577697.9,11.97,141662.75,0.37,190672,0.5,617088.05,1.61,1622,0,5643407.8,14.76,382334,Thursday
10/16/2015,670799,1.66,974698.8,2.41,4799370.67,11.85,154650.5,0.38,202011,0.5,627610.83,1.55,1668,0,5906787,14.58,405067,Friday
10/17/2015,766042,1.73,1076943.43,2.43,5023040.71,11.36,90340,0.2,220667,0.5,614199.9,1.39,1597,0,6082534.21,13.75,442353,Saturday
10/18/2015,642020,1.71,982939.42,2.62,4315485.25,11.49,74387,0.2,187252.5,0.5,532015.5,1.42,1914,0.01,5223712.75,13.91,375605,Sunday
10/19/2015,559736,1.64,823129.31,2.41,3832966.32,11.21,128977.03,0.38,170555,0.5,502463.65,1.47,1555,0,4739078.08,13.86,342007,Monday
10/20/2015,582869,1.64,837574.95,2.35,4123966.78,11.58,133159.51,0.37,177604,0.5,550056.63,1.55,1719,0,5093276.62,14.31,355997,Tuesday
10/21/2015,601523,1.64,880601.74,2.4,4394869.23,11.97,138590.21,0.38,183190.5,0.5,591071.68,1.61,2262,0.01,5420122.42,14.76,367221,Wednesday
10/22/2015,631038,1.64,923534.42,2.4,4588065.3,11.91,145098,0.38,192259,0.5,616079.27,1.6,1791,0,5658889.57,14.68,385389,Thursday
10/23/2015,668913,1.66,968416.99,2.4,4777156.07,11.84,155528.14,0.39,201142.5,0.5,621467.26,1.54,1822,0,5878089.07,14.57,403335,Friday
10/24/2015,728153,1.74,1033706.76,2.46,5072591.09,12.09,87493.27,0.21,209242,0.5,593511.37,1.42,2444,0.01,6091084.03,14.52,419399,Saturday
10/25/2015,625289,1.71,967368.93,2.64,4163383.94,11.37,73563,0.2,182504.5,0.5,515084.65,1.41,1803,0,5046131.79,13.79,366033,Sunday
10/26/2015,544799,1.64,802068.39,2.41,3761598.35,11.31,125850.7,0.38,165936,0.5,487104.74,1.46,1378,0,4641639.89,13.95,332646,Monday
10/27/2015,589913,1.64,836534.44,2.32,4127860.95,11.45,135035.25,0.37,179907.5,0.5,552411.27,1.53,1418,0,5104784.37,14.16,360570,Tuesday
10/28/2015,600964,1.64,835665.95,2.28,4340936.03,11.84,129389.25,0.35,182833.5,0.5,585130.55,1.6,1932,0.01,5350163.89,14.6,366564,Wednesday
10/29/2015,618390,1.64,909459.81,2.41,4607754.34,12.19,139287,0.37,188497.5,0.5,618787.23,1.64,2027,0.01,5669702.47,15,377910,Thursday
10/30/2015,672845,1.66,966236.85,2.39,4895409.23,12.11,155437.34,0.38,201618.5,0.5,634701.94,1.57,1816,0,6010230.21,14.87,404215,Friday
10/31/2015,743263,1.74,1038430.93,2.43,4869966.2,11.41,91240.02,0.21,212908,0.5,596232.28,1.4,1615,0,5899982.8,13.82,426809,Saturday
11/1/2015,640255,1.75,1020698.49,2.78,4385889.98,11.96,85451.75,0.23,182701.5,0.5,537692.58,1.47,1811,0,5303514.01,14.47,366638,Sunday
11/2/2015,526350,1.63,781539.22,2.42,3725457.94,11.54,119255,0.37,161058,0.5,481212.87,1.49,1866,0.01,4585704.11,14.2,322921,Monday
11/3/2015,560052,1.63,803903.1,2.34,3954787.43,11.52,53238,0.16,171239.5,0.5,519624.65,1.51,1731,0.01,4803566.98,14,343234,Tuesday
11/4/2015,590285,1.63,846775.85,2.34,4204694.2,11.62,135501,0.37,180445,0.5,574108.71,1.59,2334,0.01,5205573.71,14.39,361719,Wednesday
11/5/2015,617269,1.64,890106.95,2.36,4493480.79,11.91,139551.75,0.37,188139,0.5,611215.91,1.62,1790,0,5547294.75,14.71,377149,Thursday
11/6/2015,652152,1.66,937187.48,2.38,4626158.35,11.74,151518.72,0.38,196465,0.5,608660.15,1.55,2075,0.01,5703026.62,14.48,393898,Friday
11/7/2015,742118,1.73,1036115.34,2.42,4871855.65,11.39,88251.5,0.21,213455.5,0.5,604745.96,1.41,1400,0,5908027.11,13.81,427780,Saturday
11/8/2015,630944,1.72,964516.53,2.62,4204087.89,11.43,72761.04,0.2,183371,0.5,534012.89,1.45,2020,0.01,5106563.72,13.88,367785,Sunday
11/9/2015,534945,1.63,788975.37,2.4,3717737.13,11.32,123624.55,0.38,163814.5,0.5,499286.51,1.52,1586,0,4604528.39,14.02,328327,Monday
11/10/2015,578955,1.62,808027.57,2.26,4190438.72,11.74,129787.7,0.36,178155,0.5,574363.37,1.61,1327,0,5181158.09,14.51,357045,Tuesday
11/11/2015,568060,1.63,824807.31,2.37,4124247.96,11.83,58685.8,0.17,173967,0.5,564936.59,1.62,1968,0.01,5028396.25,14.42,348717,Wednesday
11/12/2015,621663,1.63,902615.87,2.36,4529597.62,11.85,142918.25,0.37,190691,0.5,626346.1,1.64,1861,0,5606069.67,14.67,382264,Thursday
11/13/2015,666311,1.65,951046.4,2.36,4695736.31,11.65,156496.02,0.39,201164.5,0.5,630833.81,1.56,2129,0.01,5807297.94,14.4,403225,Friday
11/14/2015,744594,1.73,1043635.46,2.42,4951359.27,11.49,89661.22,0.21,215081.5,0.5,622576.1,1.44,1963,0,6009938.39,13.94,431065,Saturday
11/15/2015,611732,1.71,952020.48,2.66,4152452.55,11.62,72923.54,0.2,178144,0.5,530184.18,1.48,2015,0.01,5042894.87,14.11,357313,Sunday
11/16/2015,519805,1.61,784210.88,2.43,3668970.9,11.38,121688.1,0.38,160852.5,0.5,496475.69,1.54,1733,0.01,4546416.79,14.1,322400,Monday
11/17/2015,584199,1.61,836376.31,2.31,4161726.79,11.49,135511,0.37,180756.5,0.5,581582.06,1.61,1459,0,5169701.45,14.27,362319,Tuesday
11/18/2015,596015,1.62,862240.45,2.34,4350800.87,11.8,135883.27,0.37,183936.5,0.5,611500.81,1.66,1794,0,5394488.55,14.63,368692,Wednesday
11/19/2015,605940,1.63,864331.7,2.33,4509206.21,12.13,134370.04,0.36,185397,0.5,627603.91,1.69,1642,0,5569676.46,14.99,371637,Thursday
11/20/2015,652556,1.65,959089.98,2.43,4686187.92,11.86,150332.6,0.38,197134.5,0.5,632543.01,1.6,2015,0.01,5786764.13,14.64,395279,Friday
11/21/2015,730511,1.72,1029443.97,2.43,4760635.54,11.24,87451.82,0.21,211306,0.5,603428.81,1.42,1687,0,5791542.17,13.67,423532,Saturday
11/22/2015,609433,1.71,918583.74,2.57,3987855.97,11.16,71285.02,0.2,178157.5,0.5,503805.31,1.41,1665,0,4849909.5,13.58,357200,Sunday
11/23/2015,568819,1.63,790334.79,2.27,3822225.51,10.98,130316.5,0.37,173741,0.5,504137.27,1.45,1653,0,4736491.68,13.61,348130,Monday
11/24/2015,582284,1.63,817145.87,2.28,4121772.96,11.5,126948,0.35,178733.5,0.5,544076.47,1.52,2430,0.01,5081423.43,14.18,358272,Tuesday
11/25/2015,569611,1.68,783502.7,2.31,3944983.52,11.62,122039.32,0.36,169316,0.5,478297.31,1.41,1460,0,4817898.95,14.19,339429,Wednesday
11/26/2015,404604,1.75,629210.45,2.72,2597513.18,11.23,46932.82,0.2,115320.5,0.5,288375.1,1.25,966,0,3118472,13.48,231257,Thursday
11/27/2015,463528,1.75,629186.19,2.38,2775945.01,10.49,111287.52,0.42,132134.5,0.5,301998.9,1.14,709,0,3401469.03,12.85,264702,Friday
