date,Total Passengers
11/16/2015,519805
11/17/2015,584199
11/18/2015,596015
11/19/2015,605940
11/20/2015,652556
11/21/2015,730511
11/22/2015,609433
11/23/2015,568819
11/24/2015,582284
11/25/2015,569611
11/26/2015,404604
11/27/2015,463528
11/28/2015,578438
11/29/2015,532425
11/30/2015,520623
12/1/2015,572691
12/2/2015,578539
12/3/2015,632967
12/4/2015,668803
12/5/2015,752419
12/6/2015,640907
12/7/2015,564669
12/8/2015,585961
12/9/2015,599441
12/10/2015,620959
12/11/2015,668337
12/12/2015,730915
12/13/2015,609597
12/14/2015,567372
12/15/2015,609065
12/16/2015,643677
12/17/2015,646685
12/18/2015,718165
12/19/2015,767051
12/20/2015,636322
12/21/2015,544175
12/22/2015,560599
12/23/2015,537529
12/24/2015,486005
12/25/2015,316424
12/26/2015,403038
12/27/2015,445977
12/28/2015,493810
12/29/2015,508527
12/30/2015,521669
12/31/2015,567176
