date,Total Passengers,TotalTripDistance,AvgTripDistance,TotalFareAmount,AvgFareAmount,TotalTipAmount,TotalTotalAmount,AvgTotalAmount,TotalNoOfTrips
1/1/2015,660421,1034291.44,2.82,4236811.39,11.56,425376.65,5056737.13,13.8,"366391	"
1/2/2015,575299,799195.12,2.43,3518805.33,10.7,361008.52,4277279.2,13,"328934	"
1/3/2015,694001,951979.39,2.43,4124436.35,10.53,443548.23,4960264.26,12.66,"391714	"
1/4/2015,531441,840086.11,2.71,3426049.03,11.06,387573.21,4122610.88,13.31,"309846	"
1/5/2015,564583,826494.99,2.41,3618776.33,10.56,429035.71,4452699.47,12.99,"342840	"
1/6/2015,603433,831741.45,2.26,3893241.74,10.59,485024.52,4811082.11,13.09,"367676	"
1/7/2015,678840,920477.51,2.23,4293014.52,10.39,546306.58,5327208.29,12.9,"412994	"
1/8/2015,713531,961903.86,2.23,4552372.22,10.53,589446.17,5649825.07,13.07,"432281	"
1/9/2015,715002,975776.11,2.27,4637558.59,10.8,590287.58,5745582.74,13.39,"429234	"
1/10/2015,866240,1159592.58,2.32,5247816.47,10.49,641436.67,6393153.24,12.78,"500294	"
1/11/2015,684327,1013074.88,2.53,4272138.31,10.69,528256.48,5200739.01,13.01,"399699	"
1/12/2015,614222,852968.73,2.27,3965390.09,10.54,512027.99,4913612.66,13.06,"376215	"
1/13/2015,700922,948278.76,2.21,4549272.49,10.62,604312.4,5653423.44,13.2,"428339	"
1/14/2015,689103,953252.19,2.26,4498153.06,10.67,599465.32,5591299.67,13.26,"421609	"
1/15/2015,702490,992507.18,2.31,4687638.78,10.93,623242.9,5814121.2,13.55,"429014	"
1/16/2015,756684,1058117.73,2.32,4924599.82,10.8,630570.8,6097858.93,13.38,"455811	"
1/17/2015,804694,1097196.67,2.37,4893769.46,10.57,586000.86,5947292.34,12.85,"462896	"
1/18/2015,716548,1018327.42,2.47,4344644.48,10.55,523127.77,5279681.54,12.82,"411879	"
1/19/2015,538843,793504.04,2.47,3370508.26,10.48,419695.88,4101761.82,12.75,"321704	"
1/20/2015,627693,887050.3,2.3,4139567.48,10.72,546460.62,5138984.93,13.31,"386033	"
1/21/2015,672160,931461.58,2.26,4395109.64,10.65,597485.02,5477935.49,13.28,"412612	"
1/22/2015,703255,987974.1,2.29,4666805.91,10.83,637520.97,5814910.82,13.5,"430779	"
1/23/2015,748038,1040097.79,2.3,4946841.44,10.95,653380.72,6137129.92,13.58,"451870	"
1/24/2015,777532,1054159.08,2.35,4644410.61,10.36,589335.26,5686548.12,12.68,"448440	"
1/25/2015,661717,987611.01,2.54,4209054.95,10.82,532908.71,5133077.29,13.2,"388831	"
1/26/2015,358308,474867.55,2.16,2331907.81,10.6,294070.91,2843657.38,12.92,"220077	"
1/27/2015,228902,278131.02,2.08,1190943.17,8.91,159149.37,1528753.41,11.44,"133640	"
1/28/2015,592348,830905.61,2.29,3947470.57,10.88,528547.34,4905154.61,13.51,"362955	"
1/29/2015,672190,951868.56,2.31,4712743.59,11.42,634823.55,5832629.08,14.14,"412510	"
1/30/2015,767828,1057504.66,2.28,5126458.9,11.05,677706.84,6356590.79,13.7,"463966	"
1/31/2015,874472,1177981.57,2.33,5397861.71,10.66,687092.11,6594686.94,13.02,"506451	"
2/1/2015,698580,1038718.03,2.55,4391152.77,10.8,565993.75,5368137.58,13.2,"406663	"
2/2/2015,531646,732533.27,2.28,3406990.11,10.59,448556.98,4231587.59,13.16,"321598	"
2/3/2015,652685,920427.82,2.31,4559635.23,11.43,613387.1,5639899.06,14.14,"398903	"
